gen	AFR	OOA	EHG	ANA	EUR	YAM
762	0	0	0	0	1	0
761	0	0	0	0	1	0
760	0	0	0	0	1	0
759	0	0	0	0	1	0
758	0	0	0	0	1	0
757	0	0	0	0	1	0
756	0	0	0	0	1	0
755	0	0	0	0	1	0
754	0	0	0	0	1	0
753	0	0	0	0	1	0
752	0	0	0	0	1	0
751	0	0	0	0	1	0
750	0	0	0	0	1	0
749	0	0	0	0	1	0
748	0	0	0	0	1	0
747	0	0	0	0	1	0
746	0	0	0	0	1	0
745	0	0	0	0	1	0
744	0	0	0	0	1	0
743	0	0	0	0	1	0
742	0	0	0	0	1	0
741	0	0	0	0	1	0
740	0	0	0	0	1	0
739	0	0	0	0	1	0
738	0	0	0	0	1	0
737	0	0	0	0	1	0
736	0	0	0	0	1	0
735	0	0	0	0	1	0
734	0	0	0	0	1	0
733	0	0	0	0	1	0
732	0	0	0	0	1	0
731	0	0	0	0	1	0
730	0	0	0	0	1	0
729	0	0	0	0	1	0
728	0	0	0	0	1	0
727	0	0	0	0	1	0
726	0	0	0	0	1	0
725	0	0	0	0	1	0
724	0	0	0	0	1	0
723	0	0	0	0	1	0
722	0	0	0	0	1	0
721	0	0	0	0	1	0
720	0	0	0	0	1	0
719	0	0	0	0	1	0
718	0	0	0	0	1	0
717	0	0	0	0	1	0
716	0	0	0	0	1	0
715	0	0	0	0	1	0
714	0	0	0	0	1	0
713	0	0	0	0	1	0
712	0	0	0	0	1	0
711	0	0	0	0	1	0
710	0	0	0	0	1	0
709	0	0	0	0	1	0
708	0	0	0	0	1	0
707	0	0	0	0	1	0
706	0	0	0	0	1	0
705	0	0	0	0	1	0
704	0	0	0	0	1	0
703	0	0	0	0	1	0
702	0	0	0	0	1	0
701	0	0	0	0	1	0
700	0	0	0	0	1	0
699	0	0	0	0	1	0
698	0	0	0	0	1	0
697	0	0	0	0	1	0
696	0	0	0	0	1	0
695	0	0	0	0	1	0
694	0	0	0	0	1	0
693	0	0	0	0	1	0
692	0	0	0	0	1	0
691	0	0	0	0	1	0
690	0	0	0	0	1	0
689	0	0	0	0	1	0
688	0	0	0	0	1	0
687	0	0	0	0	1	0
686	0	0	0	0	1	0
685	0	0	0	0	1	0
684	0	0	0	0	1	0
683	0	0	0	0	1	0
682	0	0	0	0	1	0
681	0	0	0	0	1	0
680	0	0	0	0	1	0
679	0	0	0	0	1	0
678	0	0	0	0	1	0
677	0	0	0	0	1	0
676	0	0	0	0	1	0
675	0	0	0	0	1	0
674	0	0	0	0	1	0
673	0	0	0	0	1	0
672	0	0	0	0	1	0
671	0	0	0	0	1	0
670	0	0	0	0	1	0
669	0	0	0	0	1	0
668	0	0	0	0	1	0
667	0	0	0	0	1	0
666	0	0	0	0	1	0
665	0	0	0	0	1	0
664	0	0	0	0	1	0
663	0	0	0	0	1	0
662	0	0	0	0	1	0
661	0	0	0	0	1	0
660	0	0	0	0	1	0
659	0	0	0	0	1	0
658	0	0	0	0	1	0
657	0	0	0	0	1	0
656	0	0	0	0	1	0
655	0	0	0	0	1	0
654	0	0	0	0	1	0
653	0	0	0	0	1	0
652	0	0	0	0	1	0
651	0	0	0	0	1	0
650	0	0	0	0	1	0
649	0	0	0	0	1	0
648	0	0	0	0	1	0
647	0	0	0	0	1	0
646	0	0	0	0	1	0
645	0	0	0	0	1	0
644	0	0	0	0	1	0
643	0	0	0	0	1	0
642	0	0	0	0	1	0
641	0	0	0	0	1	0
640	0	0	0	0	1	0
639	0	0	0	0	1	0
638	0	0	0	0	1	0
637	0	0	0	0	1	0
636	0	0	0	0	1	0
635	0	0	0	0	1	0
634	0	0	0	0	1	0
633	0	0	0	0	1	0
632	0	0	0	0	1	0
631	0	0	0	0	1	0
630	0	0	0	0	1	0
629	0	0	0	0	1	0
628	0	0	0	0	1	0
627	0	0	0	0	1	0
626	0	0	0	0	1	0
625	0	0	0	0	1	0
624	0	0	0	0	1	0
623	0	0	0	0	1	0
622	0	0	0	0	1	0
621	0	0	0	0	1	0
620	0	0	0	0	1	0
619	0	0	0	0	1	0
618	0	0	0	0	1	0
617	0	0	0	0	1	0
616	0	0	0	0	1	0
615	0	0	0	0	1	0
614	0	0	0	0	1	0
613	0	0	0	0	1	0
612	0	0	0	0	1	0
611	0	0	0	0	1	0
610	0	0	0	0	1	0
609	0	0	0	0	1	0
608	0	0	0	0	1	0
607	0	0	0	0	1	0
606	0	0	0	0	1	0
605	0	0	0	0	1	0
604	0	0	0	0	1	0
603	0	0	0	0	1	0
602	0	0	0	0	1	0
601	0	0	0	0	1	0
600	0	0	0	0	1	0
599	0	0	0	0	1	0
598	0	0	0	0	1	0
597	0	0	0	0	1	0
596	0	0	0	0	1	0
595	0	0	0	0	1	0
594	0	0	0	0	1	0
593	0	0	0	0	1	0
592	0	0	0	0	1	0
591	0	0	0	0	1	0
590	0	0	0	0	1	0
589	0	0	0	0	1	0
588	0	0	0	0	1	0
587	0	0	0	0	1	0
586	0	0	0	0	1	0
585	0	0	0	0	1	0
584	0	0	0	0	1	0
583	0	0	0	0	1	0
582	0	0	0	0	1	0
581	0	0	0	0	1	0
580	0	0	0	0	1	0
579	0	0	0	0	1	0
578	0	0	0	0	1	0
577	0	0	0	0	1	0
576	0	0	0	0	1	0
575	0	0	0	0	1	0
574	0	0	0	0	1	0
573	0	0	0	0	1	0
572	0	0	0	0	1	0
571	0	0	0	0	1	0
570	0	0	0	0	1	0
569	0	0	0	0	1	0
568	0	0	0	0	1	0
567	0	0	0	0	1	0
566	0	0	0	0	1	0
565	0	0	0	0	1	0
564	0	0	0	0	1	0
563	0	0	0	0	1	0
562	0	0	0	0	1	0
561	0	0	0	0	1	0
560	0	0	0	0	1	0
559	0	0	0	0	1	0
558	0	0	0	0	1	0
557	0	0	0	0	1	0
556	0	0	0	0	1	0
555	0	0	0	0	1	0
554	0	0	0	0	1	0
553	0	0	0	0	1	0
552	0	0	0	0	1	0
551	0	0	0	0	1	0
550	0	0	0	0	1	0
549	0	0	0	0	1	0
548	0	0	0	0	1	0
547	0	0	0	0	1	0
546	0	0	0	0	1	0
545	0	0	0	0	1	0
544	0	0	0	0	1	0
543	0	0	0	0	1	0
542	0	0	0	0	1	0
541	0	0	0	0	1	0
540	0	0	0	0	1	0
539	0	0	0	0	1	0
538	0	0	0	0	1	0
537	0	0	0	0	1	0
536	0	0	0	0	1	0
535	0	0	0	0	1	0
534	0	0	0	0	1	0
533	0	0	0	0	1	0
532	0	0	0	0	1	0
531	0	0	0	0	1	0
530	0	0	0	0	1	0
529	0	0	0	0	1	0
528	0	0	0	0	1	0
527	0	0	0	0	1	0
526	0	0	0	0	1	0
525	0	0	0	0	1	0
524	0	0	0	0	1	0
523	0	0	0	0	1	0
522	0	0	0	0	1	0
521	0	0	0	0	1	0
520	0	0	0	0	1	0
519	0	0	0	0	1	0
518	0	0	0	0	1	0
517	0	0	0	0	1	0
516	0	0	0	0	1	0
515	0	0	0	0	1	0
514	0	0	0	0	1	0
513	0	0	0	0	1	0
512	0	0	0	0	1	0
511	0	0	0	0	1	0
510	0	0	0	0	1	0
509	0	0	0	0	1	0
508	0	0	0	0	1	0
507	0	0	0	0	1	0
506	0	0	0	0	1	0
505	0	0	0	0	1	0
504	0	0	0	0	1	0
503	0	0	0	0	1	0
502	0	0	0	0	1	0
501	0	0	0	0	1	0
500	0	0	0	0	1	0
499	0	0	0	0	1	0
498	0	0	0	0	1	0
497	0	0	0	0	1	0
496	0	0	0	0	1	0
495	0	0	0	0	1	0
494	0	0	0	0	1	0
493	0	0	0	0	1	0
492	0	0	0	0	1	0
491	0	0	0	0	1	0
490	0	0	0	0	1	0
489	0	0	0	0	1	0
488	0	0	0	0	1	0
487	0	0	0	0	1	0
486	0	0	0	0	1	0
485	0	0	0	0	1	0
484	0	0	0	0	1	0
483	0	0	0	0	1	0
482	0	0	0	0	1	0
481	0	0	0	0	1	0
480	0	0	0	0	1	0
479	0	0	0	0	1	0
478	0	0	0	0	1	0
477	0	0	0	0	1	0
476	0	0	0	0	1	0
475	0	0	0	0	1	0
474	0	0	0	0	1	0
473	0	0	0	0	1	0
472	0	0	0	0	1	0
471	0	0	0	0	1	0
470	0	0	0	0	1	0
469	0	0	0	0	1	0
468	0	0	0	0	1	0
467	0	0	0	0	1	0
466	0	0	0	0	1	0
465	0	0	0	0	1	0
464	0	0	0	0	1	0
463	0	0	0	0	1	0
462	0	0	0	0	1	0
461	0	0	0	0	1	0
460	0	0	0	0	1	0
459	0	0	0	0	1	0
458	0	0	0	0	1	0
457	0	0	0	0	1	0
456	0	0	0	0	1	0
455	0	0	0	0	1	0
454	0	0	0	0	1	0
453	0	0	0	0	1	0
452	0	0	0	0	1	0
451	0	0	0	0	1	0
450	0	0	0	0	1	0
449	0	0	0	0	1	0
448	0	0	0	0	1	0
447	0	0	0	0	1	0
446	0	0	0	0	1	0
445	0	0	0	0	1	0
444	0	0	0	0	1	0
443	0	0	0	0	1	0
442	0	0	0	0	1	0
441	0	0	0	0	1	0
440	0	0	0	0	1	0
439	0	0	0	0	1	0
438	0	0	0	0	1	0
437	0	0	0	0	1	0
436	0	0	0	0	1	0
435	0	0	0	0	1	0
434	0	0	0	0	1	0
433	0	0	0	0	1	0
432	0	0	0	0	1	0
431	0	0	0	0	1	0
430	0	0	0	0	1	0
429	0	0	0	0	1	0
428	0	0	0	0	1	0
427	0	0	0	0	1	0
426	0	0	0	0	1	0
425	0	0	0	0	1	0
424	0	0	0	0	1	0
423	0	0	0	0	1	0
422	0	0	0	0	1	0
421	0	0	0	0	1	0
420	0	0	0	0	1	0
419	0	0	0	0	1	0
418	0	0	0	0	1	0
417	0	0	0	0	1	0
416	0	0	0	0	1	0
415	0	0	0	0	1	0
414	0	0	0	0	1	0
413	0	0	0	0	1	0
412	0	0	0	0	1	0
411	0	0	0	0	1	0
410	0	0	0	0	1	0
409	0	0	0	0	1	0
408	0	0	0	0	1	0
407	0	0	0	0	1	0
406	0	0	0	0	1	0
405	0	0	0	0	1	0
404	0	0	0	0	1	0
403	0	0	0	0	1	0
402	0	0	0	0	1	0
401	0	0	0	0	1	0
400	0	0	0	0	1	0
399	0	0	0	0	1	0
398	0	0	0	0	1	0
397	0	0	0	0	1	0
396	0	0	0	0	1	0
395	0	0	0	0	1	0
394	0	0	0	0	1	0
393	0	0	0	0	1	0
392	0	0	0	0	1	0
391	0	0	0	0	1	0
390	0	0	0	0	1	0
389	0	0	0	0	1	0
388	0	0	0	0	1	0
387	0	0	0	0	1	0
386	0	0	0	0	1	0
385	0	0	0	0	1	0
384	0	0	0	0	1	0
383	0	0	0	0	1	0
382	0	0	0	0	1	0
381	0	0	0	0	1	0
380	0	0	0	0	1	0
379	0	0	0	0	1	0
378	0	0	0	0	1	0
377	0	0	0	0	1	0
376	0	0	0	0	1	0
375	0	0	0	0	1	0
374	0	0	0	0	1	0
373	0	0	0	0	1	0
372	0	0	0	0	1	0
371	0	0	0	0	1	0
370	0	0	0	0	1	0
369	0	0	0	0	1	0
368	0	0	0	0	1	0
367	0	0	0	0	1	0
366	0	0	0	0	1	0
365	0	0	0	0	1	0
364	0	0	0	0	1	0
363	0	0	0	0	1	0
362	0	0	0	0	1	0
361	0	0	0	0	1	0
360	0	0	0	0	1	0
359	0	0	0	0	1	0
358	0	0	0	0	1	0
357	0	0	0	0	1	0
356	0	0	0	0	1	0
355	0	0	0	0	1	0
354	0	0	0	0	1	0
353	0	0	0	0	1	0
352	0	0	0	0	1	0
351	0	0	0	0	1	0
350	0	0	0	0	1	0
349	0	0	0	0	1	0
348	0	0	0	0	1	0
347	0	0	0	0	1	0
346	0	0	0	0	1	0
345	0	0	0	0	1	0
344	0	0	0	0	1	0
343	0	0	0	0	1	0
342	0	0	0	0	1	0
341	0	0	0	0	1	0
340	0	0	0	0	1	0
339	0	0	0	0	1	0
338	0	0	0	0	1	0
337	0	0	0	0	1	0
336	0	0	0	0	1	0
335	0	0	0	0	1	0
334	0	0	0	0	1	0
333	0	0	0	0	1	0
332	0	0	0	0	1	0
331	0	0	0	0	1	0
330	0	0	0	0	1	0
329	0	0	0	0	1	0
328	0	0	0	0	1	0
327	0	0	0	0	1	0
326	0	0	0	0	1	0
325	0	0	0	0	1	0
324	0	0	0	0	1	0
323	0	0	0	0	1	0
322	0	0	0	0	1	0
321	0	0	0	0	1	0
320	0	0	0	0	1	0
319	0	0	0	0	1	0
318	0	0	0	0	1	0
317	0	0	0	0	1	0
316	0	0	0	0	1	0
315	0	0	0	0	1	0
314	0	0	0	0	1	0
313	0	0	0	0	1	0
312	0	0	0	0	1	0
311	0	0	0	0	1	0
310	0	0	0	0	1	0
309	0	0	0	0	1	0
308	0	0	0	0	1	0
307	0	0	0	0	1	0
306	0	0	0	0	1	0
305	0	0	0	0	1	0
304	0	0	0	0	1	0
303	0	0	0	0	1	0
302	0	0	0	0	1	0
301	0	0	0	0	1	0
300	0	0	0	0	1	0
299	0	0	0	0	1	0
298	0	0	0	0	1	0
297	0	0	0	0	1	0
296	0	0	0	0	1	0
295	0	0	0	0	1	0
294	0	0	0	0	1	0
293	0	0	0	0	1	0
292	0	0	0	0	1	0
291	0	0	0	0	1	0
290	0	0	0	0	1	0
289	0	0	0	0	1	0
288	0	0	0	0	1	0
287	0	0	0	0	1	0
286	0	0	0	0	1	0
285	0	0	0	0	1	0
284	0	0	0	0	1	0
283	0	0	0	0	1	0
282	0	0	0	0	1	0
281	0	0	0	0	1	0
280	0	0	0	0	1	0
279	0	0	0	0	1	0
278	0	0	0	0	1	0
277	0	0	0	0	1	0
276	0	0	0	0	1	0
275	0	0	0	0	1	0
274	0	0	0	0	1	0
273	0	0	0	0	1	0
272	0	0	0	0	1	0
271	0	0	0	0	1	0
270	0	0	0	0	1	0
269	0	0	0	0	1	0
268	0	0	0	0	1	0
267	0	0	0	0	1	0
266	0	0	0	0	1	0
265	0	0	0	0.002	0.998	0
264	0	0	0	0.00425	0.99575	0
263	0	0	0	0.00825	0.99175	0
262	0	0	0	0.0095	0.9905	0
261	0	0	0	0.01325	0.98675	0
260	0	0	0	0.019	0.981	0
259	0	0	0	0.026	0.974	0
258	0	0	0	0.031	0.969	0
257	0	0	0	0.0425	0.9575	0
256	0	0	0	0.05225	0.94775	0
255	0	0	0	0.05225	0.94775	0
254	0	0	0	0.056	0.944	0
253	0	0	0	0.06075	0.93925	0
252	0	0	0	0.0755	0.9245	0
251	0	0	0	0.09	0.91	0
250	0	0	0	0.08825	0.91175	0
249	0	0	0	0.09775	0.90225	0
248	0	0	0	0.0985	0.9015	0
247	0	0	0	0.1135	0.8865	0
246	0	0	0	0.12025	0.87975	0
245	0	0	0	0.12475	0.87525	0
244	0	0	0	0.127	0.873	0
243	0	0	0	0.13	0.87	0
242	0	0	0	0.12875	0.87125	0
241	0	0	0	0.13575	0.86425	0
240	0	0	0	0.1405	0.8595	0
239	0	0	0	0.1395	0.8605	0
238	0	0	0	0.143	0.857	0
237	0	0	0	0.14025	0.85975	0
236	0	0	0	0.148	0.852	0
235	0	0	0	0.14825	0.85175	0
234	0	0	0	0.136	0.864	0
233	0	0	0	0.13275	0.86725	0
232	0	0	0	0.1335	0.8665	0
231	0	0	0	0.1425	0.8575	0
230	0	0	0	0.1475	0.8525	0
229	0	0	0	0.1545	0.8455	0
228	0	0	0	0.161	0.839	0
227	0	0	0	0.16625	0.83375	0
226	0	0	0	0.16475	0.83525	0
225	0	0	0	0.16625	0.83375	0
224	0	0	0	0.16275	0.83725	0
223	0	0	0	0.16725	0.83275	0
222	0	0	0	0.16725	0.83275	0
221	0	0	0	0.17225	0.82775	0
220	0	0	0	0.1775	0.8225	0
219	0	0	0	0.17425	0.82575	0
218	0	0	0	0.1825	0.8175	0
217	0	0	0	0.20025	0.79975	0
216	0	0	0	0.2125	0.7875	0
215	0	0	0	0.22625	0.77375	0
214	0	0	0	0.23525	0.76475	0
213	0	0	0	0.245	0.755	0
212	0	0	0	0.24925	0.75075	0
211	0	0	0	0.2545	0.7455	0
210	0	0	0	0.262	0.738	0
209	0	0	0	0.258	0.742	0
208	0	0	0	0.2765	0.7235	0
207	0	0	0	0.2795	0.7205	0
206	0	0	0	0.28225	0.71775	0
205	0	0	0	0.293	0.707	0
204	0	0	0	0.294	0.706	0
203	0	0	0	0.315	0.685	0
202	0	0	0	0.32275	0.67725	0
201	0	0	0	0.3335	0.6665	0
200	0	0	0	0.33125	0.66875	0
199	0	0	0	0.32975	0.67025	0
198	0	0	0	0.3375	0.6625	0
197	0	0	0	0.33425	0.66575	0
196	0	0	0	0.3495	0.6505	0
195	0	0	0	0.35825	0.64175	0
194	0	0	0	0.344	0.656	0
193	0	0	0	0.337	0.663	0
192	0	0	0	0.331	0.669	0
191	0	0	0	0.3365	0.6635	0
190	0	0	0	0.34425	0.65575	0
189	0	0	0	0.33025	0.66975	0
188	0	0	0	0.32475	0.67525	0
187	0	0	0	0.326	0.674	0
186	0	0	0	0.32325	0.67675	0
185	0	0	0	0.32975	0.67025	0
184	0	0	0	0.33125	0.66875	0
183	0	0	0	0.32075	0.67925	0
182	0	0	0	0.3155	0.6845	0
181	0	0	0	0.33	0.67	0
180	0	0	0	0.31725	0.68275	0
179	0	0	0	0.3205	0.6795	0
178	0	0	0	0.339	0.661	0
177	0	0	0	0.34225	0.65775	0
176	0	0	0	0.35525	0.64475	0
175	0	0	0	0.36025	0.63975	0
174	0	0	0	0.37175	0.62825	0
173	0	0	0	0.36825	0.63175	0
172	0	0	0	0.3665	0.6335	0
171	0	0	0	0.355	0.645	0
170	0	0	0	0.35725	0.64275	0
169	0	0	0	0.34625	0.65375	0
168	0	0	0	0.335	0.665	0
167	0	0	0	0.3295	0.6705	0
166	0	0	0	0.339	0.661	0
165	0	0	0	0.336	0.664	0
164	0	0	0	0.3515	0.6485	0
163	0	0	0	0.3505	0.6495	0
162	0	0	0	0.3555	0.6445	0
161	0	0	0	0.3415	0.6585	0
160	0	0	0	0.32725	0.67275	0
159	0	0	0	0.31875	0.68125	0
158	0	0	0	0.3295	0.6705	0
157	0	0	0	0.327	0.673	0
156	0	0	0	0.331	0.669	0
155	0	0	0	0.3465	0.6535	0
154	0	0	0	0.3495	0.6505	0
153	0	0	0	0.3495	0.6505	0
152	0	0	0	0.3445	0.6555	0
151	0	0	0	0.3465	0.6535	0
150	0	0	0	0.35075	0.64925	0
149	0	0	0	0.35125	0.64875	0
148	0	0	0	0.35175	0.64825	0
147	0	0	0	0.363	0.637	0
146	0	0	0	0.3535	0.6465	0
145	0	0	0	0.36425	0.63575	0
144	0	0	0	0.36325	0.63675	0
143	0	0	0	0.3585	0.6415	0
142	0	0	0	0.358	0.642	0
141	0	0	0	0.35375	0.64625	0
140	0	0	0	0.353	0.647	0
139	0	0	0	0.3545	0.6455	0
138	0	0	0	0.3545	0.6455	0
137	0	0	0	0.35225	0.64775	0
136	0	0	0	0.35625	0.64375	0
135	0	0	0	0.361	0.639	0
134	0	0	0	0.3785	0.6215	0
133	0	0	0	0.3755	0.6245	0
132	0	0	0	0.3715	0.6215	0.007
131	0	0	0	0.36075	0.6225	0.01675
130	0	0	0	0.35275	0.624	0.02325
129	0	0	0	0.35475	0.61925	0.026
128	0	0	0	0.35925	0.61175	0.029
127	0	0	0	0.35675	0.61375	0.0295
126	0	0	0	0.3565	0.6095	0.034
125	0	0	0	0.35125	0.607	0.04175
124	0	0	0	0.35925	0.5895	0.05125
123	0	0	0	0.35675	0.582	0.06125
122	0	0	0	0.3725	0.561	0.0665
121	0	0	0	0.354	0.57225	0.07375
120	0	0	0	0.3515	0.563	0.0855
119	0	0	0	0.34975	0.55175	0.0985
118	0	0	0	0.3385	0.5645	0.097
117	0	0	0	0.343	0.548	0.109
116	0	0	0	0.33325	0.5465	0.12025
115	0	0	0	0.327	0.53125	0.14175
114	0	0	0	0.335	0.51825	0.14675
113	0	0	0	0.32425	0.513	0.16275
112	0	0	0	0.31525	0.4995	0.18525
111	0	0	0	0.32225	0.48825	0.1895
110	0	0	0	0.31875	0.483	0.19825
109	0	0	0	0.31275	0.485	0.20225
108	0	0	0	0.311	0.46075	0.22825
107	0	0	0	0.309	0.45825	0.23275
106	0	0	0	0.30575	0.44925	0.245
105	0	0	0	0.299	0.457	0.244
104	0	0	0	0.307	0.45	0.243
103	0	0	0	0.30025	0.4335	0.26625
102	0	0	0	0.29025	0.43175	0.278
101	0	0	0	0.289	0.42	0.291
100	0	0	0	0.28275	0.41475	0.3025
99	0	0	0	0.27025	0.423	0.30675
98	0	0	0	0.26375	0.43225	0.304
97	0	0	0	0.27625	0.41975	0.304
96	0	0	0	0.27675	0.424	0.29925
95	0	0	0	0.283	0.414	0.303
94	0	0	0	0.28125	0.4115	0.30725
93	0	0	0	0.28225	0.41325	0.3045
92	0	0	0	0.28525	0.40125	0.3135
91	0	0	0	0.29575	0.39975	0.3045
90	0	0	0	0.29625	0.4055	0.29825
89	0	0	0	0.3065	0.402	0.2915
88	0	0	0	0.3	0.41525	0.28475
87	0	0	0	0.2995	0.42	0.2805
86	0	0	0	0.2945	0.42625	0.27925
85	0	0	0	0.28725	0.427	0.28575
84	0	0	0	0.28525	0.43475	0.28
83	0	0	0	0.284	0.45	0.266
82	0	0	0	0.272	0.45575	0.27225
81	0	0	0	0.26375	0.46175	0.2745
80	0	0	0	0.267	0.46225	0.27075
79	0	0	0	0.2625	0.46075	0.27675
78	0	0	0	0.26025	0.46525	0.2745
77	0	0	0	0.25525	0.468	0.27675
76	0	0	0	0.25625	0.457	0.28675
75	0	0	0	0.2555	0.45025	0.29425
74	0	0	0	0.249	0.454	0.297
73	0	0	0	0.2405	0.45625	0.30325
72	0	0	0	0.245	0.46375	0.29125
71	0	0	0	0.2415	0.4635	0.295
70	0	0	0	0.2355	0.46875	0.29575
69	0	0	0	0.23675	0.46775	0.2955
68	0	0	0	0.2335	0.46725	0.29925
67	0	0	0	0.2475	0.45375	0.29875
66	0	0	0	0.246	0.45275	0.30125
65	0	0	0	0.24725	0.44	0.31275
64	0	0	0	0.25325	0.4325	0.31425
63	0	0	0	0.24525	0.42275	0.332
62	0	0	0	0.24775	0.4175	0.33475
61	0	0	0	0.2575	0.40575	0.33675
60	0	0	0	0.27325	0.393	0.33375
59	0	0	0	0.26625	0.4	0.33375
58	0	0	0	0.26125	0.39775	0.341
57	0	0	0	0.24475	0.41325	0.342
56	0	0	0	0.23425	0.39625	0.3695
55	0	0	0	0.2395	0.3995	0.361
54	0	0	0	0.243	0.39075	0.36625
53	0	0	0	0.23975	0.392	0.36825
52	0	0	0	0.2315	0.38675	0.38175
51	0	0	0	0.2285	0.38775	0.38375
50	0	0	0	0.2145	0.3895	0.396
49	0	0	0	0.22025	0.38325	0.3965
48	0	0	0	0.22525	0.3875	0.38725
47	0	0	0	0.2295	0.37975	0.39075
46	0	0	0	0.22475	0.37875	0.3965
45	0	0	0	0.2185	0.37675	0.40475
44	0	0	0	0.22575	0.36875	0.4055
43	0	0	0	0.22725	0.38125	0.3915
42	0	0	0	0.23375	0.37575	0.3905
41	0	0	0	0.23875	0.37075	0.3905
40	0	0	0	0.236	0.36075	0.40325
39	0	0	0	0.2395	0.3575	0.403
38	0	0	0	0.2425	0.3465	0.411
37	0	0	0	0.24725	0.34875	0.404
36	0	0	0	0.24525	0.344	0.41075
35	0	0	0	0.24575	0.34875	0.4055
34	0	0	0	0.23975	0.35375	0.4065
33	0	0	0	0.2355	0.3535	0.411
32	0	0	0	0.2305	0.35225	0.41725
31	0	0	0	0.229	0.35625	0.41475
30	0	0	0	0.23125	0.352	0.41675
29	0	0	0	0.2245	0.35275	0.42275
28	0	0	0	0.22275	0.354	0.42325
27	0	0	0	0.22425	0.3365	0.43925
26	0	0	0	0.235	0.341	0.424
25	0	0	0	0.2285	0.341	0.4305
24	0	0	0	0.2245	0.343	0.4325
23	0	0	0	0.2395	0.33225	0.42825
22	0	0	0	0.243	0.33625	0.42075
21	0	0	0	0.248	0.3255	0.4265
20	0	0	0	0.24275	0.328	0.42925
19	0	0	0	0.23375	0.3295	0.43675
18	0	0	0	0.237	0.3355	0.4275
17	0	0	0	0.24225	0.328	0.42975
16	0	0	0	0.23975	0.3275	0.43275
15	0	0	0	0.24475	0.32475	0.4305
14	0	0	0	0.247	0.31575	0.43725
13	0	0	0	0.24675	0.325	0.42825
12	0	0	0	0.24475	0.3275	0.42775
11	0	0	0	0.24025	0.326	0.43375
10	0	0	0	0.23375	0.32175	0.4445
9	0	0	0	0.23425	0.32075	0.445
8	0	0	0	0.23425	0.32825	0.4375
7	0	0	0	0.2255	0.3295	0.445
6	0	0	0	0.223	0.3225	0.4545
5	0	0	0	0.23375	0.316	0.45025
4	0	0	0	0.237	0.3095	0.4535
3	0	0	0	0.22975	0.31175	0.4585
2	0	0	0	0.2325	0.30775	0.45975
1	0	0	0	0.23675	0.31775	0.4455
0	0	0	0	0.23775	0.3215	0.44075
